plot_id,pore_cat,pct,field_id,site_name,sys_trt,crop_trt,cc_trt,rep,plot,site_sys
B42-p10,Macropores (>30 um),0.5446481371969253,Central42,Central,silage,soy,cc,B2,10,Central-silage
B42-p11,Macropores (>30 um),0.5590082644628097,Central42,Central,silage,soy,no,B2,11,Central-silage
B42-p12,Macropores (>30 um),0.6655524970507275,Central42,Central,grain,soy,cc,B2,12,Central-grain
B42-p13,Macropores (>30 um),0.6072764365861947,Central42,Central,grain,soy,no,B2,13,Central-grain
B42-p14,Macropores (>30 um),0.563077996859187,Central42,Central,grain,soy,cc,B3,14,Central-grain
B42-p15,Macropores (>30 um),0.6141719486429386,Central42,Central,grain,soy,no,B3,15,Central-grain
B42-p16,Macropores (>30 um),0.5198746818092811,Central42,Central,silage,soy,no,B3,16,Central-silage
B42-p18,Macropores (>30 um),0.43787721123829343,Central42,Central,silage,soy,cc,B3,18,Central-silage
B42-p2,Macropores (>30 um),0.7228935606687636,Central42,Central,silage,soy,no,B1,2,Central-silage
B42-p20,Macropores (>30 um),0.5603579267263215,Central42,Central,silage,soy,no,B4,20,Central-silage
B42-p21,Macropores (>30 um),0.6413723511604438,Central42,Central,silage,soy,cc,B4,21,Central-silage
B42-p22,Macropores (>30 um),0.6768427919112852,Central42,Central,grain,soy,no,B4,22,Central-grain
B42-p26,Macropores (>30 um),0.6587998995731861,Central42,Central,grain,soy,no,B5,26,Central-grain
B42-p27,Macropores (>30 um),0.3593862383121555,Central42,Central,grain,soy,cc,B5,27,Central-grain
B42-p31,Macropores (>30 um),0.5259660779856618,Central42,Central,silage,soy,cc,B5,31,Central-silage
B42-p34,Macropores (>30 um),0.6391087657578421,Central42,Central,grain,soy,cc,B4,34,Central-grain
B42-p5,Macropores (>30 um),0.7175339539142377,Central42,Central,grain,soy,cc,B1,5,Central-grain
B42-p6,Macropores (>30 um),0.5330473776564627,Central42,Central,grain,soy,no,B1,6,Central-grain
B42-p7,Macropores (>30 um),0.5254691689008044,Central42,Central,silage,soy,cc,B1,7,Central-silage
F-1cc,Macropores (>30 um),0.3572662225511968,West,West,grain,corn,cc,B1,1,West-grain
F-2no,Macropores (>30 um),0.48964497041420124,West,West,grain,corn,no,B1,2,West-grain
F-3cc,Macropores (>30 um),0.502390438247012,West,West,grain,corn,cc,B2,3,West-grain
F-4no,Macropores (>30 um),0.6042626728110598,West,West,grain,corn,no,B2,4,West-grain
F-5cc,Macropores (>30 um),0.4362311296199892,West,West,grain,corn,cc,B3,5,West-grain
F-6no,Macropores (>30 um),0.6327120822622108,West,West,grain,corn,no,B3,6,West-grain
F-7no,Macropores (>30 um),0.7123961521644075,West,West,grain,corn,no,B4,7,West-grain
F-8cc,Macropores (>30 um),0.6359066427289044,West,West,grain,corn,cc,B4,8,West-grain
St-1no,Macropores (>30 um),0.6245744351593943,East,East,grain,soy,no,B1,1,East-grain
St-2cc,Macropores (>30 um),0.703723837999456,East,East,grain,soy,cc,B1,2,East-grain
St-3no,Macropores (>30 um),0.7989026063100142,East,East,grain,soy,no,B2,3,East-grain
St-4cc,Macropores (>30 um),0.8515826139633501,East,East,grain,soy,cc,B2,4,East-grain
St-5no,Macropores (>30 um),0.71954907891119,East,East,grain,soy,no,B3,5,East-grain
St-6cc,Macropores (>30 um),0.7212325469427057,East,East,grain,soy,cc,B3,6,East-grain
St-7no,Macropores (>30 um),0.7465843984133981,East,East,grain,soy,no,B4,7,East-grain
St-8cc,Macropores (>30 um),0.6665738936821599,East,East,grain,soy,cc,B4,8,East-grain
St-9no,Macropores (>30 um),0.6696291756052709,East,East,grain,soy,no,B5,9,East-grain
