term,estimate,se,pval,ci.lb,ci.up,param
intrcpt,0.1691726346962904,0.03319593626316692,3.4656634186313226e-7,0.1041097951873961,0.2342354742051847,Thr-clay
cc_trtzcc,0.013884156371276742,0.0038596372190425852,3.2157489080916833e-4,0.006319406428562944,0.02144890631399054,Thr-clay
clay,0.005093071278109786,8.200640572335746e-4,5.279027572068467e-10,0.003485775260916187,0.0067003672953033855,Thr-clay
intrcpt,0.32376964528122837,0.024149828759408836,5.523856319449964e-41,0.2764368506799774,0.3711024398824793,Thr
cc_trtzcc,0.007192511545518851,0.0035922028598501616,0.045257151265505044,1.5192331505075197e-4,0.01423309977598695,Thr
intrcpt,0.20896690392954648,0.017058257677196695,1.6760203134264337e-34,0.17553333324323708,0.24240047461585587,Ths-clay
cc_trtzcc,-2.5251040669468363e-4,0.0019112332515345836,0.8948900930259622,-0.0039984587457578494,0.0034934379323684817,Ths-clay
clay,0.009167001453105651,3.6233004024379263e-4,3.182760962747901e-141,0.00845684762371087,0.009877155282500433,Ths-clay
intrcpt,0.4798369195776419,0.01496389522479791,1.3007285979933763e-225,0.4505082238686071,0.5091656152866767,Ths
cc_trtzcc,-0.015743767306125353,0.0017142686804437117,4.1554029871486303e-20,-0.01910367217962003,-0.012383862432630675,Ths
intrcpt,-0.06651511342158395,0.034580284086211756,0.054417515143402206,-0.13429122480572256,0.0012609979625546608,alp-clay
cc_trtzcc,-0.003376225457558756,0.003829890305453184,0.37802222973999394,-0.010882672520986103,0.0041302216058685896,alp-clay
clay,0.003949252094103607,8.691934742919511e-4,5.5306195246903515e-6,0.002245664188894142,0.005652839999313072,alp-clay
intrcpt,0.0513328617857961,0.028787685942497806,0.07456132607352647,-0.005089965859749593,0.1077556894313418,alp
cc_trtzcc,-0.013301816066048107,0.0031428151358606333,2.3115664949857385e-5,-0.019461620542402303,-0.00714201158969391,alp
intrcpt,0.9901928499528417,0.3121277227129709,0.0015118651338294872,0.3784337548589143,1.6019519450467692,scal-clay
cc_trtzcc,0.03555835633219346,0.053559493983298,0.5067518272195458,-0.06941632290526031,0.14053303556964725,scal-clay
clay,-0.006088378554478402,0.009779705064294446,0.533578719869702,-0.025256248259919487,0.013079491150962682,scal-clay
intrcpt,0.7963812332031253,0.08316105243960953,1.0051307795075454e-21,0.6333885655050437,0.9593739009012068,scal
cc_trtzcc,0.05504678556450878,0.04674947824819182,0.23900218442421603,-0.03658050809798583,0.1466740792270034,scal
