cc_trt,site_sys,estimate,std.error,df,statistic,p.value,cvar,var
cc,Central-grain,2.541095443771251,0.23603129092892486,23.83632008735553,10.765926135346355,1.2354022776165734e-10,clay,om
no,Central-grain,2.627855844718433,0.23348103806296738,23.941352676114057,11.25511461881426,4.796885125652667e-11,clay,om
cc,Central-silage,2.691844541300456,0.22894051296364354,24.13328338134387,11.757833973788333,1.770311892377479e-11,clay,om
no,Central-silage,2.3685307315380633,0.23029464829792515,24.075389938392263,10.284784075720108,2.737523059523011e-10,clay,om
cc,East-grain,3.9473699107590967,0.25653306072526755,24.111430513172216,15.387373072301614,5.720275135353866e-14,clay,om
no,East-grain,2.830206564241581,0.29886145073159337,22.710326577660272,9.469961941606787,2.3849687824419834e-9,clay,om
cc,West-grain,2.981114648115187,0.2664554213323158,23.743576754709043,11.18804276230966,5.993232427313141e-11,clay,om
no,West-grain,2.929650675223863,0.2556843400553105,24.1440095787078,11.458076292783952,2.9971020770658814e-11,clay,om
cc,Central-grain,2.3599999999999883,0.2788881017437082,19.683407353875744,8.46217527834434,5.481709811075664e-8,no clay,om
no,Central-grain,2.4800000000000004,0.2788881017437083,19.683407353875722,8.892455377243246,2.5054867346810016e-8,no clay,om
cc,Central-silage,2.6400000000000015,0.278888101743708,19.68340735387596,9.466162175775082,9.144828709891816e-9,no clay,om
no,Central-silage,2.4600000000000004,0.27888810174370793,19.68340735387596,8.82074202742678,2.850052455517818e-8,no clay,om
cc,East-grain,4.025,0.31180637680740436,19.68340735387596,12.90865196925126,4.616255343321793e-11,no clay,om
no,East-grain,3.3,0.31180637680740436,19.68340735387596,10.583491055535193,1.4357981347309057e-9,no clay,om
cc,West-grain,2.7500000000000018,0.31180637680740436,19.68340735387596,8.819575879612666,2.8560458212681036e-8,no clay,om
no,West-grain,2.9750000000000005,0.31180637680740436,19.68340735387596,9.541177542490061,8.039455519291127e-9,no clay,om
