code,satsamp_g,satwater_g,cell_nu,cylinder_g,atm,10_cm,25_cm,50_cm,100_cm,200_cm,500_cm,sampafter500_g,drysoil_g,ringpluscrap_g,ring_g
St-1no,859.17,4.39,1a,46.14,48.87,48.49,53.77,49.22,50.22,50.82,49.51,824.41,526,168,164
St-3no,879.55,4.68,2a,46.14,50.73,51.6,57.38,49.29,49.21,50.06,46.48,805.48,532,170,164
St-5no,847.55,3.26,3a,46.1,50.22,50.63,56.86,49.6,49.36,50.02,49.12,809.56,512,170,164
St-7no,841.5,6.49,4a,46.14,50.24,52.03,58.97,50.71,50.76,51.59,47.57,764.51,498,164,158
St-2cc,856.32,3.92,5a,46.16,50.36,51.83,55.5,48.92,49.89,50.62,48.87,816.48,520,168,164
St-4cc,846.08,19.29,6a,46.24,51.94,55.03,63.14,51.79,49.87,50.13,48.52,773.62,482,168,162
St-6cc,833.45,4.33,7a,46.04,47.8,53.65,58.18,50.16,49.69,50.65,49.36,788.95,492,168,164
St-8cc,842.98,4.54,8a,46.2,48.92,50.26,55.41,49.62,49.89,51.08,49.61,804.13,504,170,166
St-9no,843.14,3.56,9a,46.21,48.85,51.11,54.32,48.85,49.3,50.44,49.67,807.21,518,164,160
F-1cc,887.21,3.17,1a,46.16,48.440000000000005,48.6,47.19,51.72,54.32,57.44,52.77,838.06,585.9,162.95,159.06
F-6no,822.82,1.3,2a,46.18,54.39,55.45,58.11,54.85,55.55,57.88,47.97,735.12,481.37,168.31,164.02
F-5cc,873.03,1.5,3a,46.24,51.53,48.88,50.65,49.16,51.63,56.54,52.21,816.14,557.06,168.24,164.04
F-2no,894.2,1.77,4a,46.3,50.370000000000005,48.02,52.93,51.97,54.96,57.37,47.27,824.2,592.94,164.01,159.62
F-4no,866.55,2.66,5a,46.23,49.49,52.59,57.57,54.08,55,56.86,47.44,779.79,542.99,168.01,164.07
F-3cc,879.32,1.91,6a,46.29,50.55,49.66,53.49,54.77,54.84,55.55,53.46,825.51,567.68,170.94,166.37
F-8cc,821.33,1.13,7a,46.12,48.78000000000001,54.85,61.32,53.82,52.37,54.93,51.34,763.43,476.26,167.25,163.45
F-7no,797.5,2.81,8a,46.5,65.1,59.25,66.97,57.04,55.23,58.01,52.57,710.55,428.6,167.54,163.71
B42-p22,817.8,3.02,1a,46.14,51.96,51.64,68.69,61.13,58.97,57.55,46.67,698.73,466.12,163.77,158.76
B42-p6,838.03,0.93,2a,46.15,50.18,51.42,56.29,53.12,56.88,57.22,48.3,770.83,502.37,168.85,165.06
B42-p5,797.89,3.89,3a,46.28,53.53,54.77,62.53,57.42,54.57,54.85,47.93,721.7,451.99,168.11,164.03
B42-p13,838.32,2.55,4a,46.25,51.2,51.63,59.13,56.21,56.67,56.58,48.6,775.58,498.92,167.76,163.8
B42-p14,821.3399999999999,2.55,5a,46.2,49.5,47.48,64.09,53.45,56.64,57.71,49.29,759.26,486.45,163.27,159.24
B42-p15,818.29,1.12,6a,46.26,48.73,51.7,63.45,57.83,58.2,56.86,47.46,740.92,475.67,169.12,165.05
B42-p12,844.52,2.51,7a,46.1,47.57,54.72,58.37,55.08,53.86,53.18,48.27,790.59,510.75,167.33,163.36
B42-p34,837.78,4.95,8a,46.34,50.57,52.03,63.06,58.35,58.54,57.93,47.17,730.1,492.79,168.37,164.34
B42-p26,809.64,2.9,9a,46.25,53.11,60.13,63.54,57.8,58.4,60,47.53,673.77,444.17,168.01,163.79
B42-p27,849.25,0.43,10a,46.26,48.23,46.72,52.47,52.18,57.31,57.82,50.37,799.31,528.54,167.82,163.52
B42-p2,831.2,9.16,1a,46.23,50.43,49.09,63.84,56.07,51.55,57.65,46.23,711.29,480.4,167.3,163.3
B42-p11,867.91,4.77,2a,46.15,50.58,49.23,58.36,55.48,52.2,57.67,55.26,806.23,536.5,167,163.1
B42-p16,828.64,2.54,3a,46.13,51.62,49.14,54.75,53.02,50.9,58.31,53.7,762.54,486,168.2,164.1
B42-p20,835.4,3.36,4a,46.11,48.37,49.04,58.16,58.7,54.05,58.16,52.16,766.24,492.5,168.7,164.8
B42-p7,846.69,3.64,6a,46.27,49.97,46.8,58.32,55.75,52.21,58.1,55.05,784.8,509,168.5,163.3
B42-p10,878.4,5.42,7a,46.06,46.06,50.42,55.88,54.09,51.99,58.67,50.62,820.37,541.1,168.8,163.6
B42-p21,834.77,3.47,9a,46.26,46.25,49.37,61.52,56.21,50.86,55.7,49.99,759.09,484.1,167.8,163.8
B42-p31,840.19,2.83,10a,46.15,52.91,47.93,55.73,55.28,51.95,57.97,55.64,776.38,509.5,166.5,162
B42-p18,850.18,2.13,12a,46.34,46.34,46.34,57.57,54.02,52.28,59.18,54.57,787.3,500.2,169.2,163.9
